model_name,prompt_strategy,hypothesis_count,total_seconds,avg_total_seconds,macro_precision,macro_recall,macro_f1,exact_match_rate,execution_success_rate
mock-llm,base,1,3.3614,3.3612,1.0,1.0,1.0,1.0,1.0
mock-llm,aws_domain,1,2.8971,2.897,1.0,1.0,1.0,1.0,1.0
